,Gender,TravelMethod,TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,HowYouPrepare,StudyPattern,Rate yourself,Marks
263,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
264,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
265,1,1,3,1,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
266,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
267,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
268,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
269,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
270,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
271,0,0,4,0,0,2,3,2,1,1,0,1,1,2,2,4,40 to 49
272,0,1,4,1,0,2,2,2,1,1,0,3,1,1,2,3,40 to 49
273,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
274,0,0,4,1,0,3,2,1,1,1,1,4,1,2,2,4,40 to 49
275,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
276,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
277,1,1,3,1,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
278,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
279,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
280,1,0,4,0,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
281,1,1,3,1,1,2,2,1,1,1,0,3,1,1,2,3,40 to 49
282,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
283,0,1,4,1,0,2,2,2,1,1,0,3,1,1,2,3,40 to 49
284,1,1,3,0,1,2,2,2,2,2,1,3,1,1,1,3,40 to 49
285,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
286,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
287,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
288,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
289,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
290,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
291,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
292,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
293,0,0,3,1,1,3,2,2,2,1,0,2,1,2,1,2,50 to 59
294,1,1,3,0,1,2,3,1,1,1,0,1,0,1,2,3,50 to 59
295,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
296,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
297,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
298,1,1,3,0,1,2,3,1,1,1,0,1,0,1,2,3,50 to 59
299,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
300,1,1,3,0,1,2,3,1,1,1,0,1,0,1,2,3,50 to 59
301,0,0,3,1,1,3,2,2,2,1,0,2,1,2,1,2,50 to 59
302,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
303,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
304,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
305,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
306,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
307,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
308,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
309,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
310,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
311,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
312,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
313,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
314,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
315,1,0,3,1,0,1,1,2,2,1,0,1,0,1,2,3,50 to 59
316,1,0,3,0,1,2,1,2,1,1,1,3,0,4,2,3,50 to 59
317,1,0,4,1,0,1,2,3,2,1,1,3,1,7,2,3,50 to 59
318,0,0,1,0,0,1,2,3,2,1,1,3,0,1,2,3,50 to 59
319,0,0,3,1,1,1,1,3,2,2,1,2,1,3,2,3,60 to 69
320,1,1,3,0,0,2,2,2,1,1,1,3,1,4,2,3,60 to 69
321,0,0,2,0,1,2,2,4,1,1,1,3,0,4,2,2,60 to 69
322,1,1,1,0,0,1,1,1,1,1,0,2,0,5,2,2,60 to 69
323,0,0,2,0,1,2,2,4,1,1,1,3,0,4,2,2,60 to 69
324,1,1,1,0,0,2,3,3,1,1,0,3,1,5,2,2,60 to 69
325,1,1,3,0,0,2,2,2,1,1,1,3,1,4,2,3,60 to 69
326,0,0,1,0,0,1,1,3,1,1,1,2,1,4,2,2,60 to 69
327,0,0,3,1,1,1,1,3,2,2,1,2,1,3,2,3,60 to 69
328,0,0,3,1,1,1,1,3,2,2,1,2,1,3,2,3,60 to 69
329,0,0,1,1,0,2,2,2,1,1,1,1,0,1,2,3,60 to 69
330,0,0,3,1,1,1,1,3,2,2,1,2,1,3,2,3,60 to 69
331,0,0,2,0,1,2,2,4,1,1,1,3,0,4,2,2,60 to 69
332,1,1,4,0,0,1,2,5,1,1,1,3,1,7,2,2,60 to 69
333,1,1,1,0,0,1,1,1,1,1,0,2,0,5,2,2,60 to 69
334,0,0,1,0,0,1,1,1,2,1,1,3,0,1,2,2,60 to 69
335,1,1,4,0,1,1,1,2,2,1,1,2,1,7,2,3,60 to 69
336,1,1,4,0,0,3,2,2,2,1,0,3,0,1,2,3,60 to 69
337,0,1,4,0,1,1,1,2,2,1,1,3,0,1,2,3,60 to 69
338,1,1,1,0,0,1,1,1,1,1,0,2,0,5,2,2,60 to 69
339,1,0,3,0,1,1,1,3,1,1,1,2,0,1,2,2,80 to 89
340,1,0,1,0,0,2,1,3,1,1,0,3,1,1,2,2,80 to 89
